route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
MNGR002,everyday,Ring Road aclk_T12,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T13,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T14,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T15,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T16,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T17,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T18,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T19,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T20,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T21,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T22,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T23,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T24,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T25,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T26,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T27,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T28,Koteshowr (aclk),0,,MNGR002,,
MNGR002,everyday,Ring Road aclk_T29,Koteshowr (aclk),0,,MNGR002,,
